parliament,member,birthPlace,coordinates,start,end,party
38,Michael Foot,Plymouth,(-4.142222222 50.371388888),1945,1950,Labour Party
37,Geoffrey Shakespeare,Norwich,(1.292777777 52.628611111),1935,1945,Liberal Party
38,Ray Gunter,Llanhilleth,(-3.13595 51.6973),1945,1950,Labour Party
38,"Reginald Sorensen, Baron Sorensen",Islington,(-0.1027 51.544),1945,1950,Labour Party
38,Richard Acland,Broadclyst,(-3.433333333 50.766666666),1947,1950,Labour Party
37,Richard Stokes,Balham,(-0.1525 51.4434),1938,1945,Labour Party
38,"Robert Morrison, 1st Baron Morrison",Aberdeen,(-2.1 57.15),1945,1945,Labour Party
38,Robert Richards,Llangynog,(-3.405141 52.824406),1945,1950,Labour Party
37,Robert Young,Glasgow,(-4.25 55.861111111),1935,1945,Labour Party
38,"Frederick Lee, Baron Lee of Newton",Manchester,(-2.233333333 53.466666666),1945,1950,Labour Party
37,"Frederick Montague, 1st Baron Amwell",London Borough of Islington,(-0.102222222 51.541666666),1935,1945,Labour Party
38,"Frederick Pethick-Lawrence, 1st Baron Pethick-Lawrence",London,(-0.1275 51.507222222),1945,1945,Labour Party
37,A. P. Herbert,Ashtead,(-0.2986 51.3101),1935,1945,independent politician
37,Robert McIntyre,Motherwell,(-3.995555555 55.789166666),1945,1945,Scottish National Party
38,"William Morrison, 1st Viscount Dunrossil",Oban,(-5.4725 56.409722222),1945,1950,Conservative Party
37,Duff Cooper,London,(-0.1275 51.507222222),1935,1945,Conservative Party
38,John Baker White,West Malling,(0.415211111 51.2917),1945,1950,Conservative Party
38,Oliver Stanley,London,(-0.1275 51.507222222),1945,1950,Conservative Party
37,James Grigg,Exmouth,(-3.413 50.62),1942,1945,Conservative Party
38,Alfred Barnes,Plaistow,(0.0245 51.5243),1945,1950,Labour Co-operative
37,John Wardlaw-Milne,Elgin,(-3.315277777 57.646388888),1935,1945,Conservative Party
38,"Peter Thorneycroft, Baron Thorneycroft",Dunston,(-2.109 52.76),1945,1950,Conservative Party
37,"Florence Horsbrugh, Baroness Horsbrugh",Edinburgh,(-3.189166666 55.953333333),1935,1945,Conservative Party
38,"Derick Heathcoat-Amory, 1st Viscount Amory",London,(-0.1275 51.507222222),1945,1950,Conservative Party
38,"David Maxwell Fyfe, 1st Earl of Kilmuir",Edinburgh,(-3.189166666 55.953333333),1945,1950,Conservative Party
38,Roderic Bowen,Cardigan,(-4.657919444 52.084169444),1945,1950,Liberal Party
37,Alec Cunningham-Reid,Wayland,(0.89 52.53),1935,1945,Conservative Party
38,"A. V. Alexander, 1st Earl Alexander of Hillsborough",Weston-super-Mare,(-2.976944444 51.346111111),1945,1950,Labour Party
37,"Robert Boothby, Baron Boothby",Edinburgh,(-3.189166666 55.953333333),1935,1945,Conservative Party
38,Bessie Braddock,Liverpool,(-2.991666666 53.407222222),1945,1950,Labour Party
37,Hector McNeil,Garelochhead,(-4.83 56.081),1941,1945,Labour Party
38,Leah Manning,Droitwich Spa,(-2.153 52.267),1945,1950,Labour Party
38,James Chuter Ede,Epsom,(-0.2675 51.336111111),1945,1950,Labour Party
37,Denis Pritt,Middlesex,(-0.416666666 51.5),1940,1945,Labour Party
37,"William Jowitt, 1st Earl Jowitt",Stevenage,(-0.201944444 51.901666666),1939,1945,Labour Party
38,"John Wheatley, Baron Wheatley",Glasgow,(-4.25 55.861111111),1947,1950,Labour Party
38,Joseph Mallalieu,Delph,(-2.02341 53.5688),1945,1950,Labour Party
38,Joseph Westwood,Stourbridge,(-2.148 52.458),1945,1948,Labour Party
38,Kenneth Robinson,Warrington,(-2.60288 53.38732),1949,1950,Labour Party
37,Leslie Boyce,Taree,(152.4511111 -31.915),1935,1945,Conservative Party
37,Dingle Foot,Plymouth,(-4.142222222 50.371388888),1935,1945,Labour Party
37,"Lewis Silkin, 1st Baron Silkin",London,(-0.1275 51.507222222),1936,1945,Labour Party
38,Hilary Marquand,Cardiff,(-3.179166666 51.481666666),1945,1950,Labour Party
37,William Beveridge,Rangpur,(89.244444444 25.75),1944,1945,Liberal Party
37,Ronald Bell,Cardiff,(-3.179166666 51.481666666),1945,1945,Conservative Party
37,Ronald Tree,Eastbourne,(0.286111111 50.766388888),1935,1945,Conservative Party
37,Rupert Brabner,Loughton,(0.0735 51.6494),1939,1945,Conservative Party
37,Samuel Chapman,Glasgow,(-4.25 55.861111111),1935,1945,Conservative Party
37,Simon Wingfield Digby,Sherborne,(-2.5183 50.9491),1941,1945,Conservative Party
37,"Sir Alfred Beit, 2nd Baronet",London,(-0.1275 51.507222222),1935,1945,Conservative Party
